"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/README.md", "Markdown", 0, 93, 0, 0, 38, 131
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/__init__.py", "Python", 0, 0, 0, 0, 2, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/base_llm_operation.py", "Python", 106, 0, 0, 0, 20, 126
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/bedrock_client.py", "Python", 88, 0, 0, 0, 14, 102
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/call_bedrock.py", "Python", 67, 0, 0, 0, 6, 73
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/fm_config.py", "Python", 100, 0, 0, 2, 2, 104
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/foundation_models.py", "Python", 6, 0, 0, 0, 3, 9
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/bedrock_client/local_interfaces_typehinter.py", "Python", 9, 0, 0, 0, 5, 14
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/embedding_client/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/embedding_client/bedrock_embedding_generator.py", "Python", 28, 0, 0, 0, 4, 32
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/http_client.py", "Python", 68, 0, 0, 0, 12, 80
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/async_redisclient.py", "Python", 58, 0, 0, 0, 17, 75
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/redis_client/sync_redisclient.py", "Python", 52, 0, 0, 1, 16, 69
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/__init__.py", "Python", 4, 0, 0, 0, 1, 5
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/helpers.py", "Python", 38, 0, 0, 7, 11, 56
"/Users/nabarkad/Desktop/MY-STUFF/PyhtonServiceUtil/app/zoldics_service_utils/clients/sqs_client/initiator.py", "Python", 37, 0, 0, 1, 9, 47
